id: 43868770 	pid: None 	ts: 2010-04-08T14:17
id: 43872522 	pid: None 	ts: 2010-04-08T14:49
id: 43876192 	pid: None 	ts: 2010-04-08T15:17
id: 43876762 	pid: None 	ts: 2010-04-08T15:22
id: 43883181 	pid: None 	ts: 2010-04-08T16:16
id: 43886370 	pid: None 	ts: 2010-04-08T16:44
id: 43888936 	pid: None 	ts: 2010-04-08T17:07
id: 43889108 	pid: 43799893 	ts: 2010-04-08T17:09
id: 43889627 	pid: None 	ts: 2010-04-08T17:13
id: 43889956 	pid: None 	ts: 2010-04-08T17:16
id: 43890154 	pid: None 	ts: 2010-04-08T17:18
id: 43891153 	pid: None 	ts: 2010-04-08T17:26
id: 43891295 	pid: None 	ts: 2010-04-08T17:27
id: 43893006 	pid: 43891295 	ts: 2010-04-08T17:40
id: 43893735 	pid: 43814972 	ts: 2010-04-08T17:46
id: 43893667 	pid: 43893006 	ts: 2010-04-08T17:46
id: 43896931 	pid: 43836432 	ts: 2010-04-08T18:10
id: 43898782 	pid: None 	ts: 2010-04-08T18:24
id: 43899698 	pid: None 	ts: 2010-04-08T18:31
id: 43900070 	pid: None 	ts: 2010-04-08T18:34
id: 43900714 	pid: 43779112 	ts: 2010-04-08T18:39
